City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Rainfall over last 1hr,Snowfall over last 1hr
30,Bambous Virieux,MU,-20.34,57.76,72.0,83,75,18.34,shower rain,0.0,0.0
31,Tasiilaq,GL,65.61,-37.64,37.4,93,27,5.82,scattered clouds,0.0,0.0
32,Ascension,US,30.22,-90.9,88.0,74,73,3.36,broken clouds,0.0,0.0
33,Cape Town,ZA,-33.93,18.42,60.01,67,75,31.09,broken clouds,0.0,0.0
34,Mataura,NZ,-46.19,168.86,45.0,83,83,4.92,broken clouds,0.0,0.0
35,Katsuura,JP,35.13,140.3,75.99,71,99,9.31,overcast clouds,0.0,0.0
36,Zaysan,KZ,47.47,84.87,70.72,42,24,4.74,few clouds,0.0,0.0
37,Kruisfontein,ZA,-34.0,24.73,54.46,37,0,7.56,clear sky,0.0,0.0
38,Wanning,CN,18.8,110.4,87.44,70,10,10.85,clear sky,0.0,0.0
39,Kemijarvi,FI,66.71,27.43,48.6,81,48,4.27,scattered clouds,0.0,0.0
40,Ilulissat,GL,69.22,-51.1,46.4,75,61,2.24,broken clouds,0.0,0.0
41,Xingtai,CN,37.06,114.49,82.65,53,1,1.63,clear sky,0.0,0.0
42,Klaksvik,FO,62.23,-6.59,50.0,93,100,19.46,light rain,0.0,0.0
43,Dingle,PH,11.0,122.67,86.14,69,94,4.45,overcast clouds,0.0,0.0
44,Puerto Ayora,EC,-0.74,-90.35,68.0,93,46,1.01,scattered clouds,0.0,0.0
45,Sorong,ID,-0.88,131.25,82.92,70,7,4.0,clear sky,0.0,0.0
46,Dikson,RU,73.51,80.55,40.75,97,100,5.26,overcast clouds,0.0,0.0
47,Esperance,AU,-33.87,121.9,53.6,54,0,21.92,clear sky,0.0,0.0
48,Waitati,NZ,-45.75,170.57,48.99,61,12,10.0,few clouds,0.0,0.0
49,Port Elizabeth,ZA,-33.92,25.57,60.8,31,0,13.87,clear sky,0.0,0.0
50,Komsomolskiy,UZ,40.43,71.72,77.0,41,60,6.93,broken clouds,0.0,0.0
51,Pacifica,US,37.61,-122.49,69.01,77,1,8.05,haze,0.0,0.0
52,Khovu-Aksy,RU,51.13,93.6,60.44,80,98,1.92,overcast clouds,0.0,0.0
53,Qaanaaq,GL,77.48,-69.36,43.18,69,97,1.39,overcast clouds,0.0,0.0
54,Samarai,PG,-10.62,150.67,79.3,87,32,20.07,moderate rain,1.12,0.0
55,Thompson,CA,55.74,-97.86,73.4,56,75,6.93,broken clouds,0.0,0.0
56,Hermanus,ZA,-34.42,19.23,55.99,71,86,8.01,light rain,0.39,0.0
57,Puerto Narino,CO,-3.77,-70.38,77.0,100,75,2.24,broken clouds,0.0,0.0
58,Coihaique,CL,-45.58,-72.07,30.2,86,51,3.36,broken clouds,0.0,0.0
59,Sumbe,AO,-11.21,13.84,70.11,87,63,3.36,broken clouds,0.0,0.0
60,Huangmei,CN,30.19,116.03,78.84,91,100,1.72,light rain,0.56,0.0
61,Busselton,AU,-33.65,115.33,63.0,69,88,14.63,light rain,0.32,0.0
62,Port Hardy,CA,50.7,-127.42,57.2,87,75,5.82,shower rain,0.0,0.0
63,Hajnowka,PL,52.74,23.58,46.99,83,0,3.89,clear sky,0.0,0.0
64,Newtownards,GB,54.59,-5.69,61.0,87,93,11.41,overcast clouds,0.0,0.0
65,Vaini,TO,-21.2,-175.2,73.4,73,75,12.75,broken clouds,0.0,0.0
66,Hobart,AU,-42.88,147.33,50.0,70,75,6.93,broken clouds,0.0,0.0
67,Miyako,JP,39.64,141.95,67.62,71,77,5.91,broken clouds,0.0,0.0
68,Casteltermini,IT,37.54,13.64,73.0,37,0,3.2,clear sky,0.0,0.0
69,Sinnamary,GF,5.38,-52.95,77.67,88,66,7.23,light rain,0.51,0.0
70,Zhigansk,RU,66.77,123.37,72.45,49,100,6.29,overcast clouds,0.0,0.0
71,El Sauzal,MX,31.9,-116.68,73.99,85,10,1.01,clear sky,0.0,0.0
72,Lae,PG,-6.72,146.98,87.31,53,100,4.05,overcast clouds,0.0,0.0
73,Sunrise Manor,US,36.21,-115.07,113.0,8,1,13.87,clear sky,0.0,0.0
74,Loikaw,MM,19.67,97.21,69.6,94,100,3.44,light rain,0.72,0.0
75,Veraval,IN,20.9,70.37,83.32,81,95,13.8,light rain,0.57,0.0
76,Serenje,ZM,-13.23,30.24,54.45,63,0,9.75,clear sky,0.0,0.0
77,Sur,OM,22.57,59.53,85.21,69,61,7.0,broken clouds,0.0,0.0
78,Kaitangata,NZ,-46.28,169.85,46.99,65,25,5.01,scattered clouds,0.0,0.0
79,Paita,PE,-5.09,-81.11,63.5,84,0,14.81,clear sky,0.0,0.0
80,Saskylakh,RU,71.92,114.08,64.87,54,89,14.76,overcast clouds,0.0,0.0
81,Bodden Town,KY,19.28,-81.25,84.0,76,16,4.59,few clouds,0.0,0.0
82,Upington,ZA,-28.45,21.26,49.1,42,0,18.14,clear sky,0.0,0.0
83,Betanzos,ES,43.28,-8.21,64.0,82,0,4.7,clear sky,0.0,0.0
84,Sao Joao Da Barra,BR,-21.64,-41.05,70.68,83,0,12.44,clear sky,0.0,0.0
85,Arraial Do Cabo,BR,-22.97,-42.03,71.96,79,46,13.27,scattered clouds,0.0,0.0
86,Sola,VU,-13.88,167.55,79.9,83,55,27.29,light rain,0.48,0.0
87,Nerchinskiy Zavod,RU,51.31,119.61,81.07,46,79,5.75,broken clouds,0.0,0.0
88,Kismayo,SO,-0.36,42.55,77.25,82,91,15.3,light rain,0.67,0.0
89,Faanui,PF,-16.48,-151.75,78.82,76,100,14.09,overcast clouds,0.0,0.0
90,Bonthe,SL,7.53,-12.51,75.76,84,88,7.0,light rain,0.12,0.0
91,Mahebourg,MU,-20.41,57.7,71.6,83,75,18.34,shower rain,0.0,0.0
92,Mandalgovi,MN,45.76,106.27,73.49,41,0,3.96,clear sky,0.0,0.0
93,Kuryk,KZ,43.2,51.65,78.58,60,34,2.57,scattered clouds,0.0,0.0
94,Poum,NC,-20.23,164.02,74.3,77,96,9.04,overcast clouds,0.0,0.0
95,Deputatskiy,RU,69.3,139.9,72.55,43,73,8.28,broken clouds,0.0,0.0
96,Kapaa,US,22.08,-159.32,79.0,83,75,14.99,light rain,0.51,0.0
97,Touros,BR,-5.2,-35.46,71.6,94,40,2.24,scattered clouds,0.0,0.0
98,San Andres,CO,12.58,-81.7,82.4,83,40,13.87,scattered clouds,0.0,0.0
99,Voloshka,RU,61.33,40.09,55.2,78,100,0.56,overcast clouds,0.0,0.0
100,Kirakira,SB,-10.45,161.92,82.99,76,9,14.41,light rain,0.44,0.0
101,Raga,SS,8.46,25.68,69.24,95,92,3.33,overcast clouds,0.0,0.0
102,Chuy,UY,-33.7,-53.46,43.05,73,49,9.24,scattered clouds,0.0,0.0
103,Avarua,CK,-21.21,-159.78,68.0,94,100,9.17,moderate rain,0.0,0.0
104,Narsaq,GL,60.92,-46.05,51.8,57,100,4.7,light rain,0.0,0.0
105,Puqi,CN,29.72,113.88,77.92,85,99,4.59,overcast clouds,0.0,0.0
106,Chicama,PE,-7.84,-79.15,63.05,81,5,4.68,clear sky,0.0,0.0
107,Mildura,AU,-34.2,142.15,55.99,71,0,10.29,clear sky,0.0,0.0
108,Miraflores,MX,19.22,-98.81,60.8,77,90,11.41,overcast clouds,0.0,0.0
109,New Norfolk,AU,-42.78,147.06,50.0,83,0,1.99,clear sky,0.0,0.0
110,Carnarvon,AU,-24.87,113.63,68.0,77,0,5.82,clear sky,0.0,0.0
111,Ponta Do Sol,PT,32.67,-17.1,68.0,68,20,3.36,few clouds,0.0,0.0
112,Puerto Escondido,MX,15.85,-97.07,80.83,78,91,3.47,overcast clouds,0.0,0.0
113,Aklera,IN,24.42,76.57,79.57,85,93,8.77,overcast clouds,0.0,0.0
114,Jamestown,US,42.1,-79.24,66.99,77,1,8.05,clear sky,0.0,0.0
115,Yarada,IN,17.65,83.27,80.6,83,75,2.24,broken clouds,0.0,0.0
116,Korla,CN,41.76,86.15,78.55,17,53,14.63,broken clouds,0.0,0.0
117,Butaritari,KI,3.07,172.79,83.53,76,86,12.24,light rain,0.46,0.0
118,Katangli,RU,51.71,143.23,56.89,83,99,6.64,overcast clouds,0.0,0.0
119,Lagoa,PT,39.05,-27.98,68.65,80,0,15.57,clear sky,0.0,0.0
120,Aklavik,CA,68.22,-135.01,57.2,71,90,2.24,overcast clouds,0.0,0.0
121,Chalus,IR,36.66,51.42,73.4,88,75,4.7,broken clouds,0.0,0.0
122,Martinho Campos,BR,-19.33,-45.24,63.55,60,82,1.99,broken clouds,0.0,0.0
