City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
289,Bhanpuri,IN,83.16,overcast clouds,21.1,80.92,Bhandari Hotel
293,Sagua La Grande,CU,73.4,scattered clouds,22.81,-80.08,Hotel Amaro
299,Mangit,UZ,75.2,scattered clouds,40.6,70.96,Dangara Hotel
302,Gogrial,SS,70.88,overcast clouds,8.53,28.1,
305,Damietta,EG,74.89,clear sky,31.42,31.81,السيد السيد بدر للكراسي
308,Wajir,KE,72.91,clear sky,1.75,40.06,Al- Amin lodge
309,Lipari,IT,73.99,clear sky,38.47,14.95,Hotel Villa Augustus
310,Weatherford,US,90.0,clear sky,32.76,-97.8,Candlewood Suites Weatherford
313,Kungurtug,RU,71.53,overcast clouds,50.6,97.52,
315,Aswan,EG,80.91,clear sky,24.09,32.91,Nuba Nile
317,Kaduqli,SD,70.65,overcast clouds,11.02,29.72,فندق الله جابو
318,Jaisalmer,IN,83.35,scattered clouds,26.91,70.92,Hotel Fifu
319,Nouna,BF,83.44,broken clouds,12.73,-3.87,Hôtel Chez Rose-Marie
320,Biltine,TD,86.22,broken clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
322,Bud,US,77.0,clear sky,39.45,-86.18,Madsion Scouts Camp
324,Wad Madani,SD,78.48,broken clouds,14.4,33.52,فندق يوغسلافيا
325,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
327,Miguel Alves,BR,75.11,few clouds,-4.17,-42.9,Pousada REDENTOR
328,Boende,CD,72.93,overcast clouds,-0.22,20.87,
329,Praia,CV,78.8,drizzle,14.92,-23.51,LT Aparthotel
330,Progreso,MX,84.99,few clouds,21.28,-89.67,Playa Linda Hotel
332,Maine-Soroa,NE,81.34,broken clouds,13.21,12.02,
336,Hithadhoo,MV,84.43,scattered clouds,-0.6,73.08,Scoop Guest House
337,Yumen,CN,80.4,overcast clouds,40.28,97.2,
340,Siderno,IT,77.0,clear sky,38.28,16.3,Grand Hotel President
342,Miri,MY,86.0,few clouds,4.41,114.01,"Mega Hotel, Miri"
344,Brewster,US,77.0,scattered clouds,41.4,-73.62,Heidi's Inn
348,Pitimbu,BR,71.6,clear sky,-7.47,-34.81,Reserva do Abiaí
349,Faya,SA,71.6,few clouds,18.39,42.45,مقبرة ال مجمل
354,Samana,DO,79.21,broken clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
355,Solnechnyy,RU,77.27,scattered clouds,50.72,136.63,Hotel complex Pastoral
359,Katherine,AU,75.2,overcast clouds,-14.47,132.27,Pine Tree Motel
361,Sao Felix Do Xingu,BR,77.63,overcast clouds,-6.64,-51.99,Apart Hotel Rio Xingu
362,Erzin,TR,78.01,broken clouds,36.96,36.2,Artemis Otel
363,Nishihara,JP,89.6,scattered clouds,26.18,127.76,Minshuku Agaihama
365,La Grande,US,73.4,few clouds,45.32,-118.09,Travelodge by Wyndham La Grande
366,Badulla,LK,73.94,overcast clouds,6.99,81.06,Budget comfort holiday
368,Harper,LR,75.15,broken clouds,4.38,-7.72,Screensaver
370,Celestun,MX,81.46,clear sky,20.87,-90.4,Posada Lilia
372,Nagato,JP,73.4,light intensity shower rain,34.38,131.2,いそう庵
375,Belaya Gora,RU,77.83,scattered clouds,68.53,146.42,
376,Tricase,IT,73.99,clear sky,39.93,18.36,Hotel Adriatico
379,Ust-Kuyga,RU,79.77,overcast clouds,70.02,135.6,
380,College,US,71.6,overcast clouds,64.86,-147.8,Pike's Waterfront Lodge
381,Energetik,RU,74.44,clear sky,51.74,58.79,Zhemchuzhina
385,Yarmouth,US,77.0,clear sky,41.71,-70.23,The Inn At Cape Cod
387,Ingham,US,75.2,broken clouds,42.6,-84.38,Sunset Place
388,Paragominas,BR,73.18,overcast clouds,-2.97,-47.48,HOTEL RODA VIVA
393,Mangai,CD,71.11,overcast clouds,-4.05,19.53,
394,Zhanakorgan,KZ,84.06,clear sky,43.91,67.25,"""Ақпалас"" қонақ үйі"
395,Fukue,JP,78.8,broken clouds,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
397,Jorochito,BO,73.4,scattered clouds,-18.05,-63.43,Lemon City Resort
399,Santa Lucia,ES,71.01,few clouds,27.91,-15.54,Hotel Viverde Las Tirajanas
401,Miramar,US,82.99,clear sky,25.99,-80.23,Stadium Hotel
402,Conde,BR,71.6,clear sky,-7.26,-34.91,Pousada Beija Flor
406,Walla Walla,US,82.0,clear sky,46.06,-118.34,Holiday Inn Express Walla Walla
413,Houma,US,86.0,clear sky,29.6,-90.72,Courtyard by Marriott Houma
416,Caraquet,CA,75.2,clear sky,47.79,-64.94,Gite Le Poirier
417,Misratah,LY,75.54,clear sky,32.38,15.09,فندق الماسة
418,Redwater,US,87.8,clear sky,33.36,-94.25,Witterstaetter Properties
420,Najran,SA,86.0,scattered clouds,17.49,44.13,محمد هادي ال فطيح
421,Bougouni,ML,74.57,clear sky,11.42,-7.48,Non Stop
425,Zaterechnyy,RU,77.76,broken clouds,44.79,45.21,
431,Axim,GH,73.87,broken clouds,4.87,-2.24,AXIM BEACH RESORT AND SPA
440,Lugovoy,KZ,71.35,clear sky,42.95,72.76,
441,Gaogou,CN,73.4,overcast clouds,34.02,119.19,GreenTree Inn JiangSu Huaian Gaogou Town First Street Shell Hotel
444,Daman,IN,81.99,scattered clouds,20.42,72.85,Silver Sands Beach Resort
445,Ambulu,ID,81.0,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
446,Yairipok,IN,72.61,overcast clouds,24.67,94.07,Ningthounai
447,Panacan,PH,87.8,scattered clouds,9.25,118.41,Mom's Place Resort
448,Tiznit,MA,80.31,clear sky,29.58,-9.5,
451,Manzhouli,CN,77.92,overcast clouds,49.6,117.43,Angala International Youth Hostel
453,Darnah,LY,74.07,clear sky,32.77,22.64,زاوية الرفاعي
454,Ibra,OM,82.36,few clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
457,Alyangula,AU,75.2,scattered clouds,-13.85,136.42,Groote Eylandt Lodge
461,Huntington,US,71.6,clear sky,38.42,-82.45,Delta Hotels by Marriott Huntington Downtown
